number,type,year,reference,doi_or_official_url,from_attached_pdf,verification,status
1,M,2016,"ZHANG Q, ed. Precision Agriculture Technology for Crop Farming[M]. Boca Raton: CRC Press, 2016.",https://www.routledge.com/Precision-AgricultureTechnology-for-CropFarming/Zhang/p/book/9781032098272,no,Crossref/DOI or publisher/standard official page,verified
2,M,2020,"CASTRIGNANÒ A, BUTTAFUOCO G, KHOSLA R, et al., eds. Agricultural Internet of Things and Decision Support for Precision Smart Farming[M]. London: Academic Press, 2020.",https://shop.elsevier.com/books/agricultural-internet-of-things-and-decision-support-for-precision-smart-farming/castrignano/978-0-12-818373-1,no,Crossref/DOI or publisher/standard official page,verified
3,M,2024,"SRIVASTAVA S K, SRIVASTAVA D, CENGIZ K, et al., eds. Smart Agritech: Robotics, AI, and Internet of Things (IoT) in Agriculture[M]. Hoboken: Wiley, 2024.",https://doi.org/10.1002/9781394302994,no,Crossref/DOI or publisher/standard official page,verified
4,M,2021,"CHOUDHURY A, BISWAS A, SINGH T P, et al., eds. Smart Agriculture Automation Using Advanced Technologies[M]. Singapore: Springer, 2021.",https://doi.org/10.1007/978-981-16-6124-2,no,Crossref/DOI or publisher/standard official page,verified
5,M,2025,"RAJ P, GAYATHRI N, KATHRINE G J W, eds. Artificial Intelligence for Precision Agriculture[M]. Boca Raton: Auerbach Publications, 2025.",https://www.routledge.com/Artificial-Intelligence-for-Precision-Agriculture/Gayathri-Kathrine-Raj/p/book/9781032462349,no,Crossref/DOI or publisher/standard official page,verified
6,J,2019,"WU Y, LI L, LI S, et al. Optimal control algorithm of fertigation system in greenhouse based on EC model[J]. International Journal of Agricultural and Biological Engineering, 2019, 12(3): 118-125.",https://doi.org/10.25165/j.ijabe.20191203.4680,yes,Crossref/DOI or publisher/standard official page,verified
7,J,2025,"XU Y, JIN Y, SUN Z, et al. PSO-Based System Identification and Fuzzy-PID Control for EC Real-Time Regulation in Fertilizer Mixing System[J]. Agronomy, 2025, 15(5): 1259.",https://doi.org/10.3390/agronomy15051259,yes,Crossref/DOI or publisher/standard official page,verified
8,J,2026,"YUAN W, ZHANG Z, DAI J, et al. Change-aware online identification and adaptive PI control for robust electrical conductivity regulation in fertigation mixing systems[J]. Smart Agricultural Technology, 2026, 14: 102110.",https://doi.org/10.1016/j.atech.2026.102110,yes,Crossref/DOI or publisher/standard official page,verified
9,J,2020,"GONZÁLEZ PEREA R, MORENO M A, ORTEGA J F, et al. Dynamic Simulation Tool of fertigation in drip irrigation subunits[J]. Computers and Electronics in Agriculture, 2020, 173: 105434.",https://doi.org/10.1016/j.compag.2020.105434,yes,Crossref/DOI or publisher/standard official page,verified
10,J,2025,"SULAIMAN H, YUSOF A A, MOHAMED NOR M K. Automated Hydroponic Nutrient Dosing System: A Scoping Review of pH and Electrical Conductivity Dosing Frameworks[J]. AgriEngineering, 2025, 7(2): 43.",https://doi.org/10.3390/agriengineering7020043,yes,Crossref/DOI or publisher/standard official page,verified
11,M,2024,"SAVAGLIO C, FORTINO G, ZHOU M, et al., eds. Device-Edge-Cloud Continuum: Paradigms, Architectures and Applications[M]. Cham: Springer, 2024.",https://doi.org/10.1007/978-3-031-42194-5,no,Crossref/DOI or publisher/standard official page,verified
12,M,2022,"KARAKONSTANTIS G, GILLAN C J, eds. Computing at the EDGE: New Challenges for Service Provision[M]. Cham: Springer, 2022.",https://doi.org/10.1007/978-3-030-74536-3,no,Crossref/DOI or publisher/standard official page,verified
13,M,2023,"SRIVATSA M, ABDELZAHER T, HE T, eds. Artificial Intelligence for Edge Computing[M]. Cham: Springer, 2023.",https://doi.org/10.1007/978-3-031-40787-1,no,Crossref/DOI or publisher/standard official page,verified
14,J,2016,"SHI W, CAO J, ZHANG Q, et al. Edge Computing: Vision and Challenges[J]. IEEE Internet of Things Journal, 2016, 3(5): 637-646.",https://doi.org/10.1109/JIOT.2016.2579198,yes,Crossref/DOI or publisher/standard official page,verified
15,J,2020,"MA Y, LU C, SINOPOLI B, et al. Exploring Edge Computing for Multitier Industrial Control[J]. IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems, 2020, 39(11): 3506-3518.",https://doi.org/10.1109/TCAD.2020.3012648,yes,Crossref/DOI or publisher/standard official page,verified
16,J,2022,"DENG Y, LÉCHAPPÉ V, MOULAY E, et al. Predictor-based control of time-delay systems: a survey[J]. International Journal of Systems Science, 2022, 53(12): 2496-2534.",https://doi.org/10.1080/00207721.2022.2056654,yes,Crossref/DOI or publisher/standard official page,verified
17,J,2023,"ZAREI J, MASOUDI E, RAZAVI-FAR R, et al. Fault-tolerant control design for unreliable networked control systems via constrained model predictive control[J]. ISA Transactions, 2023, 134: 171-182.",https://doi.org/10.1016/j.isatra.2022.08.019,yes,Crossref/DOI or publisher/standard official page,verified
18,S,2014,"OASIS. MQTT Version 3.1.1[S/OL]. OASIS Standard, 2014-10-29.",https://docs.oasis-open.org/mqtt/mqtt/v3.1.1/os/mqtt-v3.1.1-os.html,yes,Crossref/DOI or publisher/standard official page,verified
19,J,2023,"IMBERNÓN-MULERO A, MAESTRE-VALERO J F, MARTÍNEZ-ALVAREZ V, et al. Evaluation of an autonomous smart system for optimal management of fertigation with variable sources of irrigation water[J]. Frontiers in Plant Science, 2023, 14: 1149956.",https://doi.org/10.3389/fpls.2023.1149956,yes,Crossref/DOI or publisher/standard official page,verified
20,J,2025,"ADAMO T, CAIVANO D, COLIZZI L, et al. Optimization of irrigation and fertigation in smart agriculture: An IoT-based micro-services framework[J]. Smart Agricultural Technology, 2025, 11: 100885.",https://doi.org/10.1016/j.atech.2025.100885,yes,Crossref/DOI or publisher/standard official page,verified
21,J,2020,"LIN N, WANG X, ZHANG Y, et al. Fertigation management for sustainable precision agriculture based on Internet of Things[J]. Journal of Cleaner Production, 2020, 277: 124119.",https://doi.org/10.1016/j.jclepro.2020.124119,no,Crossref/DOI or publisher/standard official page,verified
22,J,2022,"ZHANG H, HE L, DI GIOIA F, et al. LoRaWAN based internet of things (IoT) system for precision irrigation in plasticulture fresh-market tomato[J]. Smart Agricultural Technology, 2022, 2: 100053.",https://doi.org/10.1016/j.atech.2022.100053,yes,Crossref/DOI or publisher/standard official page,verified
23,J,2024,"WANG Q, JIA Y, PANG Z, et al. Intelligent fertigation improves tomato yield and quality and water and nutrient use efficiency in solar greenhouse production[J]. Agricultural Water Management, 2024, 298: 108873.",https://doi.org/10.1016/j.agwat.2024.108873,no,Crossref/DOI or publisher/standard official page,verified
24,J,2024,"WANG H, ZHAO J, ZHANG L, et al. Application of Disturbance Observer-Based Fast Terminal Sliding Mode Control for Asynchronous Motors in Remote Electrical Conductivity Control of Fertigation Systems[J]. Agriculture, 2024, 14(2): 168.",https://doi.org/10.3390/agriculture14020168,yes,Crossref/DOI or publisher/standard official page,verified
25,M,2026,"ÅSTRÖM K J, HÄGGLUND T. Advanced PID Control[M]. Hoboken: Wiley, 2026.",https://doi.org/10.1002/9781394442102,no,Crossref/DOI or publisher/standard official page,verified
26,M,2026,"RAWLINGS J B, MAYNE D Q, DIEHL M M. Model Predictive Control: Theory, Computation, and Design[M]. 2nd ed. Madison: Nob Hill Publishing, 2026.",https://sites.engineering.ucsb.edu/~jbraw/mpc/,no,Crossref/DOI or publisher/standard official page,verified
27,J,2019,"TRAN T C, JUNG J C. Development of Anti-windup PI Control and Bumpless Control Transfer Methodology for Feedwater Control System[J]. Annals of Nuclear Energy, 2019, 131: 233-241.",https://doi.org/10.1016/j.anucene.2019.03.030,yes,Crossref/DOI or publisher/standard official page,verified
28,M,2011,"ISERMANN R. Fault-Diagnosis Applications: Model-Based Condition Monitoring, Actuators, Drives, Machinery, Plants, Sensors, and Fault-tolerant Systems[M]. Berlin: Springer, 2011.",https://doi.org/10.1007/978-3-642-12767-0,no,Crossref/DOI or publisher/standard official page,verified
29,J,2023,"ZOU X, LIU W, HUO Z, et al. Current Status and Prospects of Research on Sensor Fault Diagnosis of Agricultural Internet of Things[J]. Sensors, 2023, 23(5): 2528.",https://doi.org/10.3390/s23052528,yes,Crossref/DOI or publisher/standard official page,verified
30,J,2024,"SHEKARIAN S M, AMINIAN M, FALLAH A M, et al. AI-powered sensor fault detection for cost-effective smart greenhouses[J]. Computers and Electronics in Agriculture, 2024, 224: 109198.",https://doi.org/10.1016/j.compag.2024.109198,yes,Crossref/DOI or publisher/standard official page,verified
31,J,2005,"ISERMANN R. Model-based fault-detection and diagnosis: status and applications[J]. Annual Reviews in Control, 2005, 29(1): 71-85.",https://doi.org/10.1016/j.arcontrol.2004.12.002,yes,Crossref/DOI or publisher/standard official page,verified
32,J,2017,"FENG J, TURKSOY K, SAMADI S, et al. Hybrid online sensor error detection and functional redundancy for systems with time-varying parameters[J]. Journal of Process Control, 2017, 60: 115-127.",https://doi.org/10.1016/j.jprocont.2017.04.004,yes,Crossref/DOI or publisher/standard official page,verified
33,J,2011,"YETENDJE A, DE DONÁ J A, SERON M M. Multisensor fusion fault tolerant control[J]. Automatica, 2011, 47(7): 1461-1466.",https://doi.org/10.1016/j.automatica.2011.02.024,yes,Crossref/DOI or publisher/standard official page,verified
34,J,2012,"SERON M M, DE DONÁ J A, OLARU S. Fault Tolerant Control Allowing Sensor Healthy-to-Faulty and Faulty-to-Healthy Transitions[J]. IEEE Transactions on Automatic Control, 2012, 57(7): 1657-1669.",https://doi.org/10.1109/TAC.2011.2178716,yes,Crossref/DOI or publisher/standard official page,verified
35,J,2009,"DARDER M, VALERA A, NIETO E, et al. Multisensor device based on Case-Based Reasoning (CBR) for monitoring nutrient solutions in fertigation[J]. Sensors and Actuators B: Chemical, 2009, 135(2): 530-536.",https://doi.org/10.1016/j.snb.2008.09.034,yes,Crossref/DOI or publisher/standard official page,verified
36,J,2023,"KALYANI Y, BERMEO N V, COLLIER R. Digital twin deployment for smart agriculture in Cloud-Fog-Edge infrastructure[J]. International Journal of Parallel, Emergent and Distributed Systems, 2023, 38(6): 461-476.",https://doi.org/10.1080/17445760.2023.2235653,yes,Crossref/DOI or publisher/standard official page,verified
