anomaly_scenario_id,base_scenario_id,split,anomaly_type,anomaly_seed,start_step,end_step
AD0001,D0001,development,root_depth_shift,41027708,120,168
AD0002,D0002,development,sensor_spike,41027709,120,123
AD0003,D0003,development,sensor_bias,41027710,120,168
AD0004,D0004,development,sensor_missing,41027711,120,144
AD0005,D0005,development,sensor_bias,41027712,120,168
AD0006,D0006,development,valve_stuck,41027713,120,168
AD0007,D0007,development,drainage_shift,41027714,120,168
AD0008,D0008,development,forecast_underprediction,41027715,120,168
AD0009,D0009,development,valve_stuck,41027716,120,168
AD0010,D0010,development,forecast_underprediction,41027717,120,168
AD0011,D0011,development,drainage_shift,41027718,120,168
AD0012,D0012,development,forecast_underprediction,41027719,120,168
AD0013,D0013,development,sensor_drift,41027720,120,168
AD0014,D0014,development,sensor_spike,41027721,120,123
AD0015,D0015,development,drainage_shift,41027722,120,168
AD0016,D0016,development,solver_failure,41027723,120,132
AD0017,D0017,development,flow_decay,41027724,120,168
AD0018,D0018,development,solver_failure,41027725,120,132
AD0019,D0019,development,feedback_conflict,41027726,120,132
AD0020,D0020,development,sensor_spike,41027727,120,123
AD0021,D0021,development,feedback_conflict,41027728,120,132
AD0022,D0022,development,sensor_missing,41027729,120,144
AD0023,D0023,development,sensor_drift,41027730,120,168
AD0024,D0024,development,feedback_conflict,41027731,120,132
AD0025,D0025,development,root_depth_shift,41027732,120,168
AD0026,D0026,development,solver_failure,41027733,120,132
AD0027,D0027,development,feedback_conflict,41027734,120,132
AD0028,D0028,development,flow_decay,41027735,120,168
AD0029,D0029,development,root_depth_shift,41027736,120,168
AD0030,D0030,development,flow_decay,41027737,120,168
AD0031,D0031,development,sensor_drift,41027738,120,168
AD0032,D0032,development,drainage_shift,41027739,120,168
AD0033,D0033,development,sensor_bias,41027740,120,168
AD0034,D0034,development,sensor_missing,41027741,120,144
AD0035,D0035,development,valve_stuck,41027742,120,168
AD0036,D0036,development,normal,41027743,120,168
AD0037,D0037,development,flow_decay,41027744,120,168
AD0038,D0038,development,solver_failure,41027745,120,132
AD0039,D0039,development,sensor_missing,41027746,120,144
AD0040,D0040,development,forecast_underprediction,41027747,120,168
AD0041,D0041,development,valve_stuck,41027748,120,168
AD0042,D0042,development,sensor_bias,41027749,120,168
AD0043,D0043,development,normal,41027750,120,168
AD0044,D0044,development,sensor_drift,41027751,120,168
AD0045,D0045,development,sensor_spike,41027752,120,123
AD0046,D0046,development,normal,41027753,120,168
AD0047,D0047,development,root_depth_shift,41027754,120,168
AD0048,D0048,development,normal,41027755,120,168
AE0001,E0001,locked_evaluation,normal,81043708,120,168
AE0002,E0002,locked_evaluation,valve_stuck,81043709,120,168
AE0003,E0003,locked_evaluation,solver_failure,81043710,120,132
AE0004,E0004,locked_evaluation,valve_stuck,81043711,120,168
AE0005,E0005,locked_evaluation,normal,81043712,120,168
AE0006,E0006,locked_evaluation,drainage_shift,81043713,120,168
AE0007,E0007,locked_evaluation,sensor_drift,81043714,120,168
AE0008,E0008,locked_evaluation,flow_decay,81043715,120,168
AE0009,E0009,locked_evaluation,sensor_spike,81043716,120,123
AE0010,E0010,locked_evaluation,solver_failure,81043717,120,132
AE0011,E0011,locked_evaluation,drainage_shift,81043718,120,168
AE0012,E0012,locked_evaluation,sensor_spike,81043719,120,123
AE0013,E0013,locked_evaluation,sensor_spike,81043720,120,123
AE0014,E0014,locked_evaluation,sensor_missing,81043721,120,144
AE0015,E0015,locked_evaluation,sensor_missing,81043722,120,144
AE0016,E0016,locked_evaluation,normal,81043723,120,168
AE0017,E0017,locked_evaluation,sensor_drift,81043724,120,168
AE0018,E0018,locked_evaluation,forecast_underprediction,81043725,120,168
AE0019,E0019,locked_evaluation,sensor_drift,81043726,120,168
AE0020,E0020,locked_evaluation,root_depth_shift,81043727,120,168
AE0021,E0021,locked_evaluation,root_depth_shift,81043728,120,168
AE0022,E0022,locked_evaluation,valve_stuck,81043729,120,168
AE0023,E0023,locked_evaluation,sensor_bias,81043730,120,168
AE0024,E0024,locked_evaluation,drainage_shift,81043731,120,168
AE0025,E0025,locked_evaluation,valve_stuck,81043732,120,168
AE0026,E0026,locked_evaluation,sensor_drift,81043733,120,168
AE0027,E0027,locked_evaluation,sensor_drift,81043734,120,168
AE0028,E0028,locked_evaluation,solver_failure,81043735,120,132
AE0029,E0029,locked_evaluation,flow_decay,81043736,120,168
AE0030,E0030,locked_evaluation,sensor_missing,81043737,120,144
AE0031,E0031,locked_evaluation,feedback_conflict,81043738,120,132
AE0032,E0032,locked_evaluation,sensor_missing,81043739,120,144
AE0033,E0033,locked_evaluation,valve_stuck,81043740,120,168
AE0034,E0034,locked_evaluation,root_depth_shift,81043741,120,168
AE0035,E0035,locked_evaluation,solver_failure,81043742,120,132
AE0036,E0036,locked_evaluation,valve_stuck,81043743,120,168
AE0037,E0037,locked_evaluation,flow_decay,81043744,120,168
AE0038,E0038,locked_evaluation,sensor_drift,81043745,120,168
AE0039,E0039,locked_evaluation,sensor_missing,81043746,120,144
AE0040,E0040,locked_evaluation,sensor_bias,81043747,120,168
AE0041,E0041,locked_evaluation,sensor_spike,81043748,120,123
AE0042,E0042,locked_evaluation,sensor_bias,81043749,120,168
AE0043,E0043,locked_evaluation,valve_stuck,81043750,120,168
AE0044,E0044,locked_evaluation,sensor_drift,81043751,120,168
AE0045,E0045,locked_evaluation,sensor_missing,81043752,120,144
AE0046,E0046,locked_evaluation,sensor_missing,81043753,120,144
AE0047,E0047,locked_evaluation,normal,81043754,120,168
AE0048,E0048,locked_evaluation,sensor_spike,81043755,120,123
AE0049,E0049,locked_evaluation,drainage_shift,81043756,120,168
AE0050,E0050,locked_evaluation,normal,81043757,120,168
AE0051,E0051,locked_evaluation,drainage_shift,81043758,120,168
AE0052,E0052,locked_evaluation,valve_stuck,81043759,120,168
AE0053,E0053,locked_evaluation,solver_failure,81043760,120,132
AE0054,E0054,locked_evaluation,flow_decay,81043761,120,168
AE0055,E0055,locked_evaluation,normal,81043762,120,168
AE0056,E0056,locked_evaluation,drainage_shift,81043763,120,168
AE0057,E0057,locked_evaluation,forecast_underprediction,81043764,120,168
AE0058,E0058,locked_evaluation,flow_decay,81043765,120,168
AE0059,E0059,locked_evaluation,feedback_conflict,81043766,120,132
AE0060,E0060,locked_evaluation,sensor_bias,81043767,120,168
AE0061,E0061,locked_evaluation,root_depth_shift,81043768,120,168
AE0062,E0062,locked_evaluation,root_depth_shift,81043769,120,168
AE0063,E0063,locked_evaluation,solver_failure,81043770,120,132
AE0064,E0064,locked_evaluation,flow_decay,81043771,120,168
AE0065,E0065,locked_evaluation,root_depth_shift,81043772,120,168
AE0066,E0066,locked_evaluation,normal,81043773,120,168
AE0067,E0067,locked_evaluation,sensor_missing,81043774,120,144
AE0068,E0068,locked_evaluation,sensor_bias,81043775,120,168
AE0069,E0069,locked_evaluation,sensor_spike,81043776,120,123
AE0070,E0070,locked_evaluation,normal,81043777,120,168
AE0071,E0071,locked_evaluation,drainage_shift,81043778,120,168
AE0072,E0072,locked_evaluation,drainage_shift,81043779,120,168
AE0073,E0073,locked_evaluation,valve_stuck,81043780,120,168
AE0074,E0074,locked_evaluation,drainage_shift,81043781,120,168
AE0075,E0075,locked_evaluation,root_depth_shift,81043782,120,168
AE0076,E0076,locked_evaluation,root_depth_shift,81043783,120,168
AE0077,E0077,locked_evaluation,sensor_drift,81043784,120,168
AE0078,E0078,locked_evaluation,sensor_missing,81043785,120,144
AE0079,E0079,locked_evaluation,feedback_conflict,81043786,120,132
AE0080,E0080,locked_evaluation,normal,81043787,120,168
AE0081,E0081,locked_evaluation,feedback_conflict,81043788,120,132
AE0082,E0082,locked_evaluation,sensor_spike,81043789,120,123
AE0083,E0083,locked_evaluation,drainage_shift,81043790,120,168
AE0084,E0084,locked_evaluation,sensor_missing,81043791,120,144
AE0085,E0085,locked_evaluation,forecast_underprediction,81043792,120,168
AE0086,E0086,locked_evaluation,feedback_conflict,81043793,120,132
AE0087,E0087,locked_evaluation,flow_decay,81043794,120,168
AE0088,E0088,locked_evaluation,sensor_bias,81043795,120,168
AE0089,E0089,locked_evaluation,sensor_bias,81043796,120,168
AE0090,E0090,locked_evaluation,forecast_underprediction,81043797,120,168
AE0091,E0091,locked_evaluation,flow_decay,81043798,120,168
AE0092,E0092,locked_evaluation,solver_failure,81043799,120,132
