scenario_id,split,horizon_hours,scenario_seed,root_depth_mm,field_capacity,wilting_point,saturation_margin_above_fc,initial_available_water_fraction,irrigation_efficiency,drainage_coefficient,et_stress_fraction_between_wp_fc,et_multiplier,forecast_bias_fraction,forecast_noise_std_fraction,process_noise_std,sensor_noise_std,et_profile,saturation,initial_theta,et_stress_start
D0001,development,336,41027001,328.78052669,0.27897478,0.12524137,0.11231976,0.50802792,0.78414693,16.85097278,0.49702963,0.99239786,0.06106007,0.04152336,0.00008834,0.00102165,variable_cloud,0.39129455,0.20334223,0.20165143
D0002,development,336,41027002,252.33563056,0.30645664,0.12707892,0.11104388,0.33552473,0.91514995,15.96715768,0.56007417,1.14949667,0.10913998,0.06123603,0.00007836,0.00035648,hot_spell,0.41750052,0.18726458,0.22754375
D0003,development,336,41027003,355.32526209,0.25520681,0.10739282,0.08629259,0.32964471,0.73522748,18.98606476,0.46146379,1.18359851,-0.11253457,0.09228951,0.00018683,0.00079002,variable_cloud,0.34149940,0.15611892,0.17560363
D0004,development,336,41027004,298.29462019,0.28019279,0.14315841,0.12706340,0.52152053,0.87158563,25.96674966,0.43878062,1.31243762,-0.04374321,0.00415840,0.00011549,0.00072514,typical,0.40725619,0.21462465,0.20328644
D0005,development,336,41027005,273.61782868,0.25832414,0.11989991,0.11594059,0.78050396,0.94773046,18.51904008,0.56377130,1.32288807,0.08438599,0.14807097,0.00020550,0.00113144,typical,0.37426473,0.22794057,0.19793952
D0006,development,336,41027006,338.00796089,0.29511407,0.13522611,0.08868334,0.48446446,0.77823608,25.39165176,0.35354972,0.87274796,0.13283364,0.02171247,0.00020846,0.00084808,typical,0.38379741,0.21268614,0.19175445
D0007,development,336,41027007,271.84386950,0.29826813,0.12487437,0.11471566,0.57875294,0.91070894,13.53887408,0.54937833,0.91612743,-0.15776677,0.06893631,0.00016016,0.00046258,typical,0.41298379,0.22522652,0.22013314
D0008,development,336,41027008,323.24850762,0.25232342,0.14262230,0.12145785,0.82500088,0.80550601,13.29582472,0.42400066,1.02506459,0.03263859,0.05327807,0.00026163,0.00060221,hot_spell,0.37378127,0.23312582,0.18913565
D0009,development,336,41027009,330.60157264,0.25113204,0.11926066,0.09686123,0.69634307,0.87766530,12.98401356,0.45483488,0.89937968,0.00373523,0.08420407,0.00019421,0.00030055,typical,0.34799327,0.21108838,0.17924036
D0010,development,336,41027010,246.61691915,0.26955047,0.10599839,0.08276644,0.44673423,0.88469897,11.30585028,0.40700452,0.93958027,-0.13248515,0.06410463,0.00027473,0.00093584,typical,0.35231691,0.17906270,0.17256483
D0011,development,336,41027011,305.67790250,0.29073787,0.14091440,0.09354644,0.37009729,0.84072741,17.98998184,0.59763928,0.76807218,0.10054942,0.01378991,0.00029810,0.00043600,hot_spell,0.38428431,0.19636366,0.23045479
D0012,development,336,41027012,343.84272197,0.27044105,0.12153760,0.09020879,0.53859188,0.81163676,22.36736947,0.37591810,1.26013301,0.03826656,0.04013136,0.00017610,0.00074627,variable_cloud,0.36064984,0.20173579,0.17751310
D0013,development,336,41027013,349.71568704,0.30757287,0.10212186,0.12050816,0.31468869,0.90216418,23.69948381,0.53868289,0.85283988,0.14308719,0.10215781,0.00014072,0.00054539,hot_spell,0.42808103,0.16677497,0.21279480
D0014,development,336,41027014,295.27674706,0.27193102,0.13779946,0.09878644,0.73922073,0.93944401,20.12815983,0.48744083,0.83029541,-0.17419231,0.13197256,0.00024094,0.00052269,hot_spell,0.37071746,0.23695229,0.20318066
D0015,development,336,41027015,341.29236419,0.29287827,0.13404822,0.11189615,0.84025131,0.74395543,26.79230991,0.37021262,1.29768940,-0.18116688,0.10915865,0.00009397,0.00042135,variable_cloud,0.40477442,0.26750538,0.19284911
D0016,development,336,41027016,318.01734084,0.25952123,0.13215457,0.10368359,0.40353816,0.91881034,19.98984557,0.52604364,1.28457371,0.19719612,0.04556317,0.00024343,0.00112178,typical,0.36320482,0.18355188,0.19915499
