anomaly_scenario_id,base_scenario_id,split,anomaly_type,anomaly_seed,start_step,end_step
AV2D0001,V2D0001,development,sensor_missing,62011708,120,144
AV2D0002,V2D0002,development,sensor_drift,62011709,120,168
AV2D0003,V2D0003,development,forecast_underprediction,62011710,120,168
AV2D0004,V2D0004,development,solver_failure,62011711,120,132
AV2D0005,V2D0005,development,normal,62011712,120,168
AV2D0006,V2D0006,development,forecast_underprediction,62011713,120,168
AV2D0007,V2D0007,development,sensor_bias,62011714,120,168
AV2D0008,V2D0008,development,flow_decay,62011715,120,168
AV2D0009,V2D0009,development,sensor_bias,62011716,120,168
AV2D0010,V2D0010,development,valve_stuck,62011717,120,168
AV2D0011,V2D0011,development,flow_decay,62011718,120,168
AV2D0012,V2D0012,development,normal,62011719,120,168
AV2D0013,V2D0013,development,drainage_shift,62011720,120,168
AV2D0014,V2D0014,development,root_depth_shift,62011721,120,168
AV2D0015,V2D0015,development,sensor_drift,62011722,120,168
AV2D0016,V2D0016,development,valve_stuck,62011723,120,168
AV2D0017,V2D0017,development,sensor_bias,62011724,120,168
AV2D0018,V2D0018,development,solver_failure,62011725,120,132
AV2D0019,V2D0019,development,solver_failure,62011726,120,132
AV2D0020,V2D0020,development,flow_decay,62011727,120,168
AV2D0021,V2D0021,development,solver_failure,62011728,120,132
AV2D0022,V2D0022,development,drainage_shift,62011729,120,168
AV2D0023,V2D0023,development,normal,62011730,120,168
AV2D0024,V2D0024,development,sensor_spike,62011731,120,123
AV2D0025,V2D0025,development,sensor_spike,62011732,120,123
AV2D0026,V2D0026,development,sensor_bias,62011733,120,168
AV2D0027,V2D0027,development,root_depth_shift,62011734,120,168
AV2D0028,V2D0028,development,sensor_spike,62011735,120,123
AV2D0029,V2D0029,development,solver_failure,62011736,120,132
AV2D0030,V2D0030,development,feedback_conflict,62011737,120,132
AV2D0031,V2D0031,development,sensor_bias,62011738,120,168
AV2D0032,V2D0032,development,sensor_missing,62011739,120,144
AV2D0033,V2D0033,development,valve_stuck,62011740,120,168
AV2D0034,V2D0034,development,drainage_shift,62011741,120,168
AV2D0035,V2D0035,development,solver_failure,62011742,120,132
AV2D0036,V2D0036,development,normal,62011743,120,168
AV2D0037,V2D0037,development,valve_stuck,62011744,120,168
AV2D0038,V2D0038,development,sensor_missing,62011745,120,144
AV2D0039,V2D0039,development,forecast_underprediction,62011746,120,168
AV2D0040,V2D0040,development,root_depth_shift,62011747,120,168
AV2D0041,V2D0041,development,root_depth_shift,62011748,120,168
AV2D0042,V2D0042,development,sensor_spike,62011749,120,123
AV2D0043,V2D0043,development,drainage_shift,62011750,120,168
AV2D0044,V2D0044,development,feedback_conflict,62011751,120,132
AV2D0045,V2D0045,development,root_depth_shift,62011752,120,168
AV2D0046,V2D0046,development,forecast_underprediction,62011753,120,168
AV2D0047,V2D0047,development,sensor_missing,62011754,120,144
AV2D0048,V2D0048,development,root_depth_shift,62011755,120,168
AV2D0049,V2D0049,development,flow_decay,62011756,120,168
AV2D0050,V2D0050,development,feedback_conflict,62011757,120,132
AV2D0051,V2D0051,development,sensor_missing,62011758,120,144
AV2D0052,V2D0052,development,drainage_shift,62011759,120,168
AV2D0053,V2D0053,development,flow_decay,62011760,120,168
AV2D0054,V2D0054,development,sensor_spike,62011761,120,123
AV2D0055,V2D0055,development,sensor_spike,62011762,120,123
