scenario_id,split,horizon_hours,scenario_seed,root_depth_mm,field_capacity,wilting_point,saturation_margin_above_fc,initial_available_water_fraction,irrigation_efficiency,drainage_coefficient,et_stress_fraction_between_wp_fc,et_multiplier,forecast_bias_fraction,forecast_noise_std_fraction,process_noise_std,sensor_noise_std,et_profile,saturation,initial_theta,et_stress_start
V3D0001,development,336,72019001,282.60170968,0.30243017,0.11733689,0.10566321,0.82973826,0.86854071,11.74977416,0.45763476,1.18696024,0.18194487,0.02037057,0.00014861,0.00064077,typical,0.40809339,0.27091587,0.20204201
V3D0002,development,336,72019002,300.31912915,0.30561748,0.10607682,0.12039762,0.31920454,0.85192900,27.66903034,0.45617956,1.07905623,0.07848267,0.07687438,0.00023584,0.00108170,typical,0.42601510,0.16977110,0.19710319
V3D0003,development,336,72019003,302.13184468,0.27839102,0.14368930,0.12149331,0.46215178,0.73707501,20.53861030,0.46945650,1.05018075,0.12515855,0.13403143,0.00006137,0.00070050,typical,0.39988433,0.20594194,0.20692590
V3D0004,development,336,72019004,304.66197096,0.27200411,0.11660266,0.08490661,0.73184557,0.75695518,20.24992382,0.36582563,1.21509346,-0.07182070,0.10345393,0.00005829,0.00103900,variable_cloud,0.35691072,0.23033252,0.17345249
V3D0005,development,336,72019005,347.79399365,0.29820120,0.11964849,0.11075506,0.51366372,0.76954797,18.33543505,0.39253245,0.89047751,-0.01700819,0.03283821,0.00029449,0.00115532,hot_spell,0.40895626,0.21136454,0.18973622
V3D0006,development,336,72019006,358.18636922,0.29110473,0.13527417,0.09287198,0.49032816,0.90294705,16.24473019,0.36127293,1.25527523,-0.11342399,0.05512060,0.00015136,0.00106095,typical,0.38397671,0.21168229,0.19157154
V3D0007,development,336,72019007,355.84613597,0.26355750,0.11920489,0.09027574,0.50938032,0.73142434,20.89838397,0.54309057,1.32202051,-0.04669520,0.10741050,0.00015892,0.00062202,variable_cloud,0.35383324,0.19273527,0.19760143
V3D0008,development,336,72019008,271.42295337,0.26272158,0.14549400,0.09946756,0.39600067,0.77971545,11.93685630,0.52497784,0.95015577,0.05167792,0.05316574,0.00007690,0.00033701,typical,0.36218914,0.19191620,0.20703588
V3D0009,development,336,72019009,320.60154323,0.27938271,0.12473419,0.12174995,0.31567484,0.86051326,10.92669661,0.56851515,0.85911961,0.13781544,0.06923293,0.00024803,0.00091663,variable_cloud,0.40113266,0.17355284,0.21265421
V3D0010,development,336,72019010,252.64179791,0.30816721,0.11838747,0.10518547,0.81367746,0.80208859,18.98198543,0.54134111,1.31204526,0.03321489,0.09704066,0.00024563,0.00051435,variable_cloud,0.41335268,0.27280697,0.22112304
V3D0011,development,336,72019011,264.21927998,0.26048560,0.13350784,0.08358657,0.37563787,0.82651147,10.65512095,0.54584809,0.79649738,0.10706280,0.14389572,0.00026643,0.00059654,hot_spell,0.34407217,0.18120550,0.20281841
V3D0012,development,336,72019012,289.73577461,0.26420920,0.14052551,0.08572236,0.67944030,0.76278063,23.06633801,0.40794230,0.85400326,0.15990363,0.06195656,0.00008891,0.00118733,hot_spell,0.34993157,0.22456120,0.19098132
