scenario_id,split,scenario_seed,shallow_depth_mm,deep_depth_mm,irrigation_efficiency,bypass_fraction,shallow_et_fraction,exchange_gradient_mm_per_step,shallow_excess_drainage_mm_per_step,deep_drainage_mm_per_step,initial_theta_shallow,initial_theta_deep,solar_multiplier,vpd_additive_kpa,forecast_solar_bias_fraction,forecast_vpd_bias_kpa,weather_phase_index
TD001,development,37201001,121.6638170916,205.0213445931,0.8387908197,0.1028877760,0.8034304934,7.3959595228,149.0048285069,114.3726002634,0.2412840073,0.2389629163,0.9322022291,-0.0144273260,0.1174975194,0.1791393677,1
TD002,development,37201002,128.4090588205,175.0828537580,0.8063834775,0.0944112862,0.6600103313,8.2081757484,178.0627756182,84.0004170868,0.2361619376,0.2105112735,1.1634215532,0.0950877348,-0.0986016072,0.0317892904,3
TD003,development,37201003,127.0110991036,188.0029224068,0.9217905277,0.0845748582,0.6151532537,6.1192262480,153.8143319756,131.7862959892,0.2089687719,0.2020556542,1.1955715141,-0.0962109186,-0.1716118755,-0.1156324057,0
TD004,development,37201004,125.4846684598,193.6370087194,0.8564495094,0.0472199841,0.7906437537,7.9091522850,144.8561258656,153.0013844308,0.2347278803,0.2044705883,0.9472659728,-0.0893306797,0.0083057063,-0.1986215730,1
TD005,development,37201005,117.7429807541,203.9805657695,0.7902598045,0.0899735303,0.6466994551,5.9289641272,161.6729799416,127.2511743112,0.2329172938,0.2332432436,1.0891631336,0.1800879368,-0.0853477295,0.1207432062,7
TD006,development,37201006,108.7748100866,190.8689010032,0.9132657062,0.1012165783,0.7508051654,6.5166571885,232.4956777646,119.5117528294,0.2121780233,0.2138151155,1.0884989186,0.0827949746,-0.0115580882,0.0064727088,6
TD007,development,37201007,115.4329604675,179.0103868375,0.8773377838,0.0710388591,0.7873905817,7.0835442107,204.6100735517,139.5089385400,0.2403164589,0.2309311160,0.9958795331,0.1092420565,0.0269667835,-0.0620863329,8
TD008,development,37201008,122.4215400507,182.8094855155,0.8852671944,0.0587175620,0.6233009591,7.6711095223,166.6716452626,109.7831476406,0.2142561281,0.2448279032,0.8455769607,0.1372093223,-0.1523661129,-0.1528817564,4
TD009,development,37201009,136.1525362901,172.0112582745,0.8821430161,0.0449065951,0.7530372404,7.5660776802,188.3784256888,129.6902707513,0.2381685361,0.2009626142,0.8818478793,-0.1421014640,0.1915900157,-0.0915697937,8
TD010,development,37201010,118.4827623358,206.1332696324,0.8956342191,0.0526614233,0.6312506481,5.7919777910,172.4388803670,133.9675585784,0.1983109963,0.2093546915,1.0271621387,0.0649436656,-0.1426239754,-0.0544322057,5
TD011,development,37201011,114.1530349342,193.2300047935,0.9369356397,0.0605728926,0.6718644548,7.3043426224,182.4740077464,150.2530836036,0.2022276482,0.2417984226,1.0479130267,-0.0457799934,0.0641314766,-0.1081778325,6
TD012,development,37201012,105.6145390808,158.3661116230,0.8191992732,0.0668086061,0.7106370337,7.7766792199,225.8532653458,94.3275300865,0.2158520166,0.2185841488,1.1167801513,-0.0360305860,0.1245433954,-0.0740231711,4
TD013,development,37201013,132.9506237997,185.1544848611,0.9027278864,0.0508931236,0.7200362979,8.0349116904,198.6784332545,107.2553026740,0.2175202538,0.2249922790,1.1460489796,0.0177300471,0.0843555548,0.0644985419,7
