doi,status,title,year,container,url
10.1016/j.compag.2020.105434,verified,Dynamic Simulation Tool of fertigation in drip irrigation subunits,2020,Computers and Electronics in Agriculture,https://doi.org/10.1016/j.compag.2020.105434
10.1016/j.eaef.2014.12.001,verified,Design and testing of a nutrient mixing machine for greenhouse fertigation,2015,"Engineering in Agriculture, Environment and Food",https://doi.org/10.1016/j.eaef.2014.12.001
10.13733/j.jcam.issn.2095-5553.2025.07.015,error,,,,
10.13733/j.jcam.issn.2095-5553.2023.03.011,error,,,,
10.1109/JIOT.2016.2579198,verified,Edge Computing: Vision and Challenges,2016,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2016.2579198
10.1155/2022/9437955,verified,Design of Prediction-Based Controller for Networked Control Systems with Packet Dropouts and Time-Delay,2022,Mathematical Problems in Engineering,https://doi.org/10.1155/2022/9437955
10.1109/JPROC.2006.887288,verified,A Survey of Recent Results in Networked Control Systems,2007,Proceedings of the IEEE,https://doi.org/10.1109/jproc.2006.887288
10.1109/TII.2012.2219540,verified,Network-Induced Constraints in Networked Control Systems—A Survey,2013,IEEE Transactions on Industrial Informatics,https://doi.org/10.1109/tii.2012.2219540
10.1016/j.arcontrol.2004.12.002,verified,Model-based fault-detection and diagnosis – status and applications,2005,Annual Reviews in Control,https://doi.org/10.1016/j.arcontrol.2004.12.002
10.1016/j.jprocont.2017.04.004,verified,Hybrid online sensor error detection and functional redundancy for systems with time-varying parameters,2017,Journal of Process Control,https://doi.org/10.1016/j.jprocont.2017.04.004
10.13733/j.jcam.issn.2095-5553.2025.03.042,error,,,,
10.1109/TCAD.2020.3012648,verified,Exploring Edge Computing for Multitier Industrial Control,2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,https://doi.org/10.1109/tcad.2020.3012648
10.25165/j.ijabe.20191203.4680,verified,Optimal control algorithm of fertigation system in greenhouse based on EC model,2019,International Journal of Agricultural and Biological Engineering,https://doi.org/10.25165/j.ijabe.20191203.4680
10.1016/j.isatra.2022.08.019,verified,Fault-tolerant control design for unreliable networked control systems via constrained model predictive control,2023,ISA Transactions,https://doi.org/10.1016/j.isatra.2022.08.019
10.3390/agronomy15051259,verified,PSO-Based System Identification and Fuzzy-PID Control for EC Real-Time Regulation in Fertilizer Mixing System,2025,Agronomy,https://doi.org/10.3390/agronomy15051259
10.1016/j.automatica.2011.02.024,verified,Multisensor fusion fault tolerant control,2011,Automatica,https://doi.org/10.1016/j.automatica.2011.02.024
10.1109/TAC.2011.2178716,verified,Fault Tolerant Control Allowing Sensor Healthy-to-Faulty and Faulty-to-Healthy Transitions,2012,IEEE Transactions on Automatic Control,https://doi.org/10.1109/tac.2011.2178716
10.1016/j.atech.2026.102110,verified,Change-aware online identification and adaptive PI control for robust electrical conductivity regulation in fertigation mixing systems,2026,Smart Agricultural Technology,https://doi.org/10.1016/j.atech.2026.102110
10.1016/j.anucene.2019.03.030,verified,Development of Anti-windup PI Control and Bumpless Control Transfer Methodology for Feedwater Control System,2019,Annals of Nuclear Energy,https://doi.org/10.1016/j.anucene.2019.03.030
10.1080/00207721.2022.2056654,verified,Predictor-based control of time-delay systems: a survey,2022,International Journal of Systems Science,https://doi.org/10.1080/00207721.2022.2056654
10.1016/j.automatica.2005.02.003,verified,"The <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" display=""inline"" overflow=""scroll""><mml:msub><mml:mrow><mml:mi mathvariant=""script"">L</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math> (<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si2.gif"" display=""inline"" overflow=""scroll""><mml:msub><mml:mrow><mml:mi>l</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math>) bumpless transfer problem for linear plants: Its definition and solution",2005,Automatica,https://doi.org/10.1016/j.automatica.2005.02.003
10.1109/TSG.2022.3208946,verified,Coordinated Distributed Predictive Control for Voltage Regulation of DC Microgrids With Communication Delays and Data Loss,2023,IEEE Transactions on Smart Grid,https://doi.org/10.1109/tsg.2022.3208946
10.1016/S1474-6670(17)57032-9,verified,Network-based software-in-the-loop simulation for real-time control system,1999,IFAC Proceedings Volumes,https://doi.org/10.1016/s1474-6670(17)57032-9
10.1109/TII.2024.3498095,verified,Distributed Predictive Control for Networked DC Microgrids With Communication Delays and Packet Dropouts,2025,IEEE Transactions on Industrial Informatics,https://doi.org/10.1109/tii.2024.3498095
10.1016/j.snb.2008.09.034,verified,Multisensor device based on Case-Based Reasoning (CBR) for monitoring nutrient solutions in fertigation,2009,Sensors and Actuators B: Chemical,https://doi.org/10.1016/j.snb.2008.09.034
10.1080/17445760.2023.2235653,verified,Digital twin deployment for smart agriculture in Cloud-Fog-Edge infrastructure,2023,"International Journal of Parallel, Emergent and Distributed Systems",https://doi.org/10.1080/17445760.2023.2235653
10.1016/j.compag.2024.109198,verified,AI-powered sensor fault detection for cost-effective smart greenhouses,2024,Computers and Electronics in Agriculture,https://doi.org/10.1016/j.compag.2024.109198
10.1109/WiMob61911.2024.10770400,verified,Measurements and Analysis of MQTT Response Times in Cloud and Edge with 5G and Wi-Fi 6,2024,"2024 20th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)",https://doi.org/10.1109/wimob61911.2024.10770400
10.3390/agriculture14020168,verified,Application of Disturbance Observer-Based Fast Terminal Sliding Mode Control for Asynchronous Motors in Remote Electrical Conductivity Control of Fertigation Systems,2024,Agriculture,https://doi.org/10.3390/agriculture14020168
10.3390/agriengineering7020043,verified,Automated Hydroponic Nutrient Dosing System: A Scoping Review of pH and Electrical Conductivity Dosing Frameworks,2025,AgriEngineering,https://doi.org/10.3390/agriengineering7020043
10.3390/s23052528,verified,Current Status and Prospects of Research on Sensor Fault Diagnosis of Agricultural Internet of Things,2023,Sensors,https://doi.org/10.3390/s23052528
